time,Kyiv_33345,Boryspil_33347,Chornobyl_33231,Fastiv_33339,Byla_Tzerkva_33464,Baryshivka_33354,Yagotyn_33356,Myronivka_33466
2021-05-16 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-17 06:00:00,3.0,5.0,4.0,0.4,0.0,5.0,6.0,6.0
2021-05-17 18:00:00,2.0,3.0,1.0,2.0,1.0,6.0,3.0,0.6
2021-05-18 06:00:00,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2021-05-18 18:00:00,6.0,5.0,2.0,24.0,12.0,28.0,17.0,1.0
2021-05-19 06:00:00,0.4,0.0,0.3,0.0,0.9,0.1,2.0,0.4
2021-05-19 18:00:00,4.0,5.0,15.0,11.0,6.0,0.4,3.0,0.5
2021-05-20 06:00:00,3.0,1.0,4.0,10.0,6.0,0.3,0.3,2.0
2021-05-20 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-21 06:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-21 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-22 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-22 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23 06:00:00,0.5,0.0,2.0,0.0,1.0,2.0,0.9,0.0
2021-05-23 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-24 06:00:00,9.0,18.0,0.4,17.0,20.0,19.0,18.0,34.0
2021-05-24 18:00:00,2.0,4.0,0.0,0.7,1.0,4.0,9.0,8.0
2021-05-25 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-26 06:00:00,0.0,0.0,0.4,0.4,0.7,0.0,0.0,0.0
2021-05-26 18:00:00,0.3,0.5,2.0,0.0,0.0,0.9,0.3,1.0
2021-05-27 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-27 18:00:00,4.0,0.0,0.0,10.0,0.5,0.0,0.5,0.0
2021-05-28 06:00:00,6.0,0.0,3.0,7.0,1.0,0.6,0.0,0.0
2021-05-28 18:00:00,0.7,0.1,0.0,6.0,17.0,14.0,1.0,2.0
2021-05-29 06:00:00,7.0,4.0,18.0,0.8,1.0,4.0,13.0,3.0
2021-05-29 18:00:00,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
2021-05-30 06:00:00,0.3,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2021-05-30 18:00:00,0.7,0.0,0.0,18.0,4.0,0.0,0.0,3.0
2021-05-31 06:00:00,0.5,0.6,0.3,0.5,2.0,0.0,0.0,0.0
2021-05-31 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-02 06:00:00,0.0,0.5,0.0,0.0,0.4,0.4,0.0,0.9
2021-06-02 18:00:00,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.9
2021-06-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-04 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-05 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-05 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06 06:00:00,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0
2021-06-06 18:00:00,0.0,0.3,0.0,0.3,0.0,0.4,0.0,0.0
